Name,ID,Overall,Attack,Midfield,Defence,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,International prestige,Players,Starting XI average age,href,game
France,1335,84,85,83,82,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,25,29.82,https://sofifa.com/team/1335/france/,FIFA8
Italy,1343,84,83,82,83,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,25,29.73,https://sofifa.com/team/1343/italy/,FIFA8
Spain,1362,84,83,83,80,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,17,25,24.82,https://sofifa.com/team/1362/spain/,FIFA8
Brazil,1370,84,84,83,83,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,25,26.91,https://sofifa.com/team/1370/brazil/,FIFA8
Argentina,1369,83,84,83,81,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,25,26.27,https://sofifa.com/team/1369/argentina/,FIFA8
Germany,1337,82,82,81,82,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,25,27.09,https://sofifa.com/team/1337/germany/,FIFA8
Portugal,1354,82,78,83,78,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,16,25,26.91,https://sofifa.com/team/1354/portugal/,FIFA8
Netherlands,105035,81,82,80,77,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,25,25.09,https://sofifa.com/team/105035/netherlands/,FIFA8
Czechia,1330,78,78,76,77,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,25,28.09,https://sofifa.com/team/1330/czechia/,FIFA8
Mexico,1386,78,77,75,75,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,25,25.18,https://sofifa.com/team/1386/mexico/,FIFA8
Denmark,1331,77,75,75,76,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,25,28.0,https://sofifa.com/team/1331/denmark/,FIFA8
Greece,1338,77,77,77,77,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,23,29.18,https://sofifa.com/team/1338/greece/,FIFA8
Turkey,1365,77,79,77,74,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,25,27.27,https://sofifa.com/team/1365/turkiye/,FIFA8
Nigeria,1393,77,78,75,73,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,25,23.91,https://sofifa.com/team/1393/nigeria/,FIFA8
Croatia,1328,76,81,74,73,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,25,26.91,https://sofifa.com/team/1328/croatia/,FIFA8
Russia,1357,76,73,73,75,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,25,25.0,https://sofifa.com/team/1357/russia/,FIFA8
Sweden,1363,76,79,74,75,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,25,27.91,https://sofifa.com/team/1363/sweden/,FIFA8
Norway,1352,75,76,75,73,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,23,26.55,https://sofifa.com/team/1352/norway/,FIFA8
Republic of Ireland,1355,75,76,75,75,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,23,27.0,https://sofifa.com/team/1355/republic-of-ireland/,FIFA8
Scotland,1359,75,76,79,73,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,25,27.09,https://sofifa.com/team/1359/scotland/,FIFA8
Switzerland,1364,75,75,73,75,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,25,23.73,https://sofifa.com/team/1364/switzerland/,FIFA8
Paraguay,1375,75,77,73,75,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,23,26.55,https://sofifa.com/team/1375/paraguay/,FIFA8
Uruguay,1377,75,77,73,74,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,23,27.0,https://sofifa.com/team/1377/uruguay/,FIFA8
Cameroon,1395,75,77,71,73,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,25,26.18,https://sofifa.com/team/1395/cameroon/,FIFA8
Poland,1353,74,75,73,69,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,23,27.91,https://sofifa.com/team/1353/poland/,FIFA8
Romania,1356,74,74,71,72,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,23,25.91,https://sofifa.com/team/1356/romania/,FIFA8
Ukraine,1366,74,76,75,67,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,23,28.09,https://sofifa.com/team/1366/ukraine/,FIFA8
United States,1387,74,78,72,72,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,23,26.0,https://sofifa.com/team/1387/united-states/,FIFA8
Australia,1415,74,73,71,68,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,23,28.27,https://sofifa.com/team/1415/australia/,FIFA8
Belgium,1325,73,73,73,74,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,23,24.64,https://sofifa.com/team/1325/belgium/,FIFA8
Bulgaria,1327,73,74,72,70,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,23,28.36,https://sofifa.com/team/1327/bulgaria/,FIFA8
Finland,1334,72,70,71,70,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,23,28.82,https://sofifa.com/team/1334/finland/,FIFA8
Austria,1322,71,65,69,71,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,25,24.55,https://sofifa.com/team/1322/austria/,FIFA8
Wales,1367,71,73,72,70,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,23,24.0,https://sofifa.com/team/1367/wales/,FIFA8
South Africa,111099,71,74,71,67,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,23,27.45,https://sofifa.com/team/111099/south-africa/,FIFA8
Northern Ireland,110081,69,67,68,68,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,23,26.64,https://sofifa.com/team/110081/northern-ireland/,FIFA8
Slovenia,1361,69,70,66,65,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,23,24.45,https://sofifa.com/team/1361/slovenia/,FIFA8
Korea Republic,974,69,71,69,67,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,23,26.64,https://sofifa.com/team/974/korea-republic/,FIFA8
Hungary,1886,68,63,69,67,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,23,24.55,https://sofifa.com/team/1886/hungary/,FIFA8
Ecuador,111465,68,68,65,68,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,23,27.27,https://sofifa.com/team/111465/ecuador/,FIFA8
China PR,1413,65,64,67,65,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,23,25.36,https://sofifa.com/team/1413/china-pr/,FIFA8
New Zealand,111473,60,62,59,58,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,22,27.27,https://sofifa.com/team/111473/new-zealand/,FIFA8
Italy,1343,85,84,83,81,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,30,29.36,https://sofifa.com/team/1343/italy/,FIFA9
Spain,1362,85,82,83,81,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,30,26.55,https://sofifa.com/team/1362/spain/,FIFA9
Britain,1318,84,80,82,81,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,17,30,27.91,https://sofifa.com/team/1318/england/,FIFA9
Argentina,1369,84,81,81,80,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,30,25.91,https://sofifa.com/team/1369/argentina/,FIFA9
Brazil,1370,84,81,81,80,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,30,27.73,https://sofifa.com/team/1370/brazil/,FIFA9
France,1335,83,82,82,81,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,30,24.91,https://sofifa.com/team/1335/france/,FIFA9
Germany,1337,83,82,79,79,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,30,25.82,https://sofifa.com/team/1337/germany/,FIFA9
Portugal,1354,82,77,81,79,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,16,30,26.27,https://sofifa.com/team/1354/portugal/,FIFA9
Netherlands,105035,82,80,77,76,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,16,30,26.91,https://sofifa.com/team/105035/netherlands/,FIFA9
Croatia,1328,78,76,75,72,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,30,26.55,https://sofifa.com/team/1328/croatia/,FIFA9
Russia,1357,78,75,75,71,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,30,26.73,https://sofifa.com/team/1357/russia/,FIFA9
Turkey,1365,78,78,76,73,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,30,25.64,https://sofifa.com/team/1365/turkiye/,FIFA9
Mexico,1386,78,75,77,76,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,30,27.0,https://sofifa.com/team/1386/mexico/,FIFA9
Czechia,1330,77,74,72,76,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,30,28.0,https://sofifa.com/team/1330/czechia/,FIFA9
Denmark,1331,77,73,73,72,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,30,27.64,https://sofifa.com/team/1331/denmark/,FIFA9
Sweden,1363,77,78,73,72,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,30,28.18,https://sofifa.com/team/1363/sweden/,FIFA9
Switzerland,1364,77,74,71,75,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,30,25.64,https://sofifa.com/team/1364/switzerland/,FIFA9
Greece,1338,76,75,76,75,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,30,28.73,https://sofifa.com/team/1338/greece/,FIFA9
Romania,1356,76,73,71,72,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,30,27.55,https://sofifa.com/team/1356/romania/,FIFA9
Scotland,1359,76,72,74,71,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,30,26.09,https://sofifa.com/team/1359/scotland/,FIFA9
Uruguay,1377,76,74,72,73,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,30,24.73,https://sofifa.com/team/1377/uruguay/,FIFA9
Republic of Ireland,1355,75,71,72,72,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,30,27.45,https://sofifa.com/team/1355/republic-of-ireland/,FIFA9
Paraguay,1375,75,77,70,72,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,30,27.55,https://sofifa.com/team/1375/paraguay/,FIFA9
Cameroon,1395,75,72,73,67,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,30,25.82,https://sofifa.com/team/1395/cameroon/,FIFA9
Bulgaria,1327,74,72,71,67,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,30,26.73,https://sofifa.com/team/1327/bulgaria/,FIFA9
Norway,1352,74,74,72,71,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,30,26.73,https://sofifa.com/team/1352/norway/,FIFA9
Poland,1353,74,67,69,65,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,30,25.73,https://sofifa.com/team/1353/poland/,FIFA9
Ukraine,1366,74,71,69,67,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,30,27.45,https://sofifa.com/team/1366/ukraine/,FIFA9
Australia,1415,74,72,70,67,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,30,30.0,https://sofifa.com/team/1415/australia/,FIFA9
Austria,1322,73,71,69,71,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,30,24.73,https://sofifa.com/team/1322/austria/,FIFA9
Belgium,1325,73,72,72,73,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,30,22.82,https://sofifa.com/team/1325/belgium/,FIFA9
United States,1387,73,73,69,70,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,30,25.91,https://sofifa.com/team/1387/united-states/,FIFA9
South Africa,111099,72,70,68,66,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,30,24.73,https://sofifa.com/team/111099/south-africa/,FIFA9
Finland,1334,71,66,66,69,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,30,28.55,https://sofifa.com/team/1334/finland/,FIFA9
Hungary,1886,71,62,70,67,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,30,26.73,https://sofifa.com/team/1886/hungary/,FIFA9
Slovenia,1361,70,70,67,66,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,30,24.82,https://sofifa.com/team/1361/slovenia/,FIFA9
Ecuador,111465,70,67,67,64,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,30,28.27,https://sofifa.com/team/111465/ecuador/,FIFA9
Korea Republic,974,70,69,67,66,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,30,26.36,https://sofifa.com/team/974/korea-republic/,FIFA9
Northern Ireland,110081,69,66,66,67,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,30,26.64,https://sofifa.com/team/110081/northern-ireland/,FIFA9
China PR,1413,65,61,62,62,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,30,26.36,https://sofifa.com/team/1413/china-pr/,FIFA9
New Zealand,111473,60,59,54,56,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,30,27.91,https://sofifa.com/team/111473/new-zealand/,FIFA9
Spain,1362,85,83,83,82,Balanced,Little,Short,Free form,Normal,Normal,Press,Medium,Normal,Cover,19,30,26.45,https://sofifa.com/team/1362/spain/,FIFA10
Brazil,1370,84,83,81,82,Fast,Little,Short,Free form,Normal,Lots,Press,High,Normal,Cover,20,30,28.09,https://sofifa.com/team/1370/brazil/,FIFA10
Britain,1318,83,81,84,82,Fast,Little,Long,Organised,Lots,Lots,Double,Medium,Normal,Cover,17,30,27.55,https://sofifa.com/team/1318/england/,FIFA10
France,1335,83,82,82,82,Fast,Little,Mixed,Organised,Normal,Little,Press,Medium,Narrow,Cover,19,30,26.55,https://sofifa.com/team/1335/france/,FIFA10
Italy,1343,83,83,81,80,Fast,Little,Short,Organised,Normal,Normal,Contain,Deep,Normal,Offside trap,19,30,28.91,https://sofifa.com/team/1343/italy/,FIFA10
Argentina,1369,83,83,81,78,Fast,Little,Short,Free form,Normal,Lots,Contain,Deep,Normal,Cover,18,30,27.18,https://sofifa.com/team/1369/argentina/,FIFA10
Germany,1337,82,81,79,79,Fast,Little,Mixed,Organised,Normal,Lots,Press,Medium,Normal,Cover,19,30,25.55,https://sofifa.com/team/1337/germany/,FIFA10
Portugal,1354,82,77,81,79,Fast,Little,Short,Free form,Lots,Lots,Press,Medium,Normal,Offside trap,16,30,27.82,https://sofifa.com/team/1354/portugal/,FIFA10
Netherlands,105035,80,81,80,76,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,17,25,26.82,https://sofifa.com/team/105035/netherlands/,FIFA10
Russia,1357,80,79,77,76,Fast,Little,Mixed,Free form,Normal,Lots,Press,Medium,Wide,Cover,13,29,27.09,https://sofifa.com/team/1357/russia/,FIFA10
Croatia,1328,78,77,74,73,Fast,Little,Mixed,Organised,Little,Normal,Press,Medium,Normal,Offside trap,13,30,26.82,https://sofifa.com/team/1328/croatia/,FIFA10
Czechia,1330,78,73,74,74,Balanced,Little,Long,Organised,Normal,Lots,Double,High,Normal,Cover,15,30,26.91,https://sofifa.com/team/1330/czechia/,FIFA10
Turkey,1365,78,77,77,74,Fast,Little,Mixed,Organised,Lots,Lots,Double,Medium,Normal,Cover,14,30,26.91,https://sofifa.com/team/1365/turkiye/,FIFA10
Uruguay,1377,78,76,70,74,Fast,Little,Mixed,Free form,Lots,Lots,Press,Deep,Normal,Cover,11,30,24.45,https://sofifa.com/team/1377/uruguay/,FIFA10
Sweden,1363,77,78,73,74,Balanced,Little,Mixed,Organised,Lots,Lots,Double,Medium,Normal,Cover,11,30,26.27,https://sofifa.com/team/1363/sweden/,FIFA10
Mexico,1386,77,73,74,74,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,15,30,27.09,https://sofifa.com/team/1386/mexico/,FIFA10
Belgium,1325,76,73,75,74,Balanced,Little,Long,Organised,Normal,Normal,Double,Medium,Normal,Cover,10,30,22.55,https://sofifa.com/team/1325/belgium/,FIFA10
Greece,1338,76,76,75,74,Balanced,Little,Mixed,Organised,Lots,Little,Contain,Deep,Normal,Offside trap,13,27,27.0,https://sofifa.com/team/1338/greece/,FIFA10
Switzerland,1364,76,74,74,73,Balanced,Little,Mixed,Organised,Normal,Lots,Press,Medium,Normal,Cover,11,30,26.55,https://sofifa.com/team/1364/switzerland/,FIFA10
Ukraine,1366,76,73,72,70,Balanced,Little,Long,Organised,Lots,Lots,Double,Medium,Normal,Cover,14,30,25.82,https://sofifa.com/team/1366/ukraine/,FIFA10
Cameroon,1395,76,73,73,74,Fast,Little,Long,Organised,Normal,Lots,Press,High,Normal,Cover,13,30,26.0,https://sofifa.com/team/1395/cameroon/,FIFA10
Denmark,1331,75,72,72,74,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,30,27.64,https://sofifa.com/team/1331/denmark/,FIFA10
Norway,1352,75,75,73,72,Fast,Little,Long,Organised,Lots,Lots,Double,High,Normal,Offside trap,10,30,26.64,https://sofifa.com/team/1352/norway/,FIFA10
Republic of Ireland,1355,75,72,74,73,Fast,Little,Long,Organised,Lots,Lots,Double,High,Normal,Cover,10,30,28.0,https://sofifa.com/team/1355/republic-of-ireland/,FIFA10
Romania,1356,75,71,70,74,Fast,Little,Mixed,Organised,Lots,Lots,Press,Deep,Wide,Cover,10,30,27.27,https://sofifa.com/team/1356/romania/,FIFA10
Scotland,1359,75,73,73,72,Fast,Little,Long,Organised,Lots,Lots,Double,Medium,Normal,Cover,11,30,26.82,https://sofifa.com/team/1359/scotland/,FIFA10
Paraguay,1375,75,75,70,73,Balanced,Little,Mixed,Organised,Normal,Lots,Press,Medium,Normal,Cover,8,30,28.09,https://sofifa.com/team/1375/paraguay/,FIFA10
Australia,1415,75,71,71,68,Fast,Little,Long,Organised,Normal,Lots,Double,Medium,Normal,Cover,11,30,30.36,https://sofifa.com/team/1415/australia/,FIFA10
United States,1387,74,72,71,70,Fast,Little,Mixed,Free form,Normal,Normal,Press,High,Normal,Cover,12,30,25.82,https://sofifa.com/team/1387/united-states/,FIFA10
Austria,1322,73,71,67,70,Fast,Little,Long,Organised,Normal,Normal,Double,Medium,Normal,Cover,10,30,23.45,https://sofifa.com/team/1322/austria/,FIFA10
Bulgaria,1327,73,70,70,68,Fast,Little,Mixed,Organised,Normal,Normal,Double,Medium,Normal,Cover,9,30,28.64,https://sofifa.com/team/1327/bulgaria/,FIFA10
Finland,1334,72,67,69,70,Fast,Little,Mixed,Organised,Normal,Normal,Double,Medium,Normal,Cover,6,30,28.82,https://sofifa.com/team/1334/finland/,FIFA10
Poland,1353,72,69,68,67,Fast,Little,Mixed,Organised,Normal,Normal,Double,Medium,Normal,Cover,11,29,27.36,https://sofifa.com/team/1353/poland/,FIFA10
Hungary,1886,72,69,72,66,Fast,Little,Long,Organised,Normal,Lots,Double,Medium,Normal,Cover,7,29,26.73,https://sofifa.com/team/1886/hungary/,FIFA10
