Name,ID,League,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,href,country,game
West Ham United,19,Premier League,76,77,76,77,12500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,12,25,25.45,25.6,https://sofifa.com/team/19/west-ham-united/,Britain,FIFA7
Olympiacos FC,280,Super League,76,76,78,72,2000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,12,23,29.82,28.87,https://sofifa.com/team/280/olympiacos-fc/,Greece,FIFA7
Torino,54,Serie A,76,76,73,74,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,10,23,30.0,28.96,https://sofifa.com/team/54/torino/,Italy,FIFA7
AC ChievoVerona,192,Serie A,76,73,71,72,1000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,10,23,28.64,27.83,https://sofifa.com/team/192/ac-chievoverona/,Italy,FIFA7
Athletic Club,448,La Liga,76,75,74,73,1000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,17,13,23,25.55,25.17,https://sofifa.com/team/448/athletic-club/,Spain,FIFA7
Real Betis Balompié,449,La Liga,76,75,74,76,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,12,23,26.55,26.57,https://sofifa.com/team/449/real-betis-balompie/,Spain,FIFA7
RCD Espanyol,452,La Liga,76,78,74,68,15000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,16,11,23,25.0,25.04,https://sofifa.com/team/452/rcd-espanyol/,Spain,FIFA7
Real Zaragoza,244,La Liga,76,78,74,72,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,16,12,23,25.55,25.91,https://sofifa.com/team/244/real-zaragoza/,Spain,FIFA7
Ajax,245,Eredivisie,76,77,73,76,10000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,15,24,23.18,24.29,https://sofifa.com/team/245/ajax/,Netherlands,FIFA7
Aston Villa,2,Premier League,75,76,74,73,10500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,12,25,24.64,24.88,https://sofifa.com/team/2/aston-villa/,Britain,FIFA7
Borussia Mönchengladbach,23,Bundesliga,75,75,71,71,10000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,11,23,25.82,24.52,https://sofifa.com/team/23/borussia-monchengladbach/,Germany,FIFA7
VfB Stuttgart,36,Bundesliga,75,73,70,74,8000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,17,12,23,25.09,25.17,https://sofifa.com/team/36/vfb-stuttgart/,Germany,FIFA7
Sampdoria,1837,Serie A,75,75,72,68,1000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,16,10,23,27.91,26.35,https://sofifa.com/team/1837/sampdoria/,Italy,FIFA7
Udinese,55,Serie A,75,80,73,70,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,10,23,24.36,22.52,https://sofifa.com/team/55/udinese/,Italy,FIFA7
RC Lens,64,Ligue 1,75,70,69,70,8000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,10,23,25.82,24.78,https://sofifa.com/team/64/rc-lens/,France,FIFA7
Galatasaray SK,325,Süper Lig,75,79,73,73,7500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,13,23,28.27,26.57,https://sofifa.com/team/325/galatasaray-sk/,Turkey,FIFA7
Stade Rennais FC,74,Ligue 1,75,69,68,73,10000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,9,23,24.18,23.74,https://sofifa.com/team/74/stade-rennais-fc/,France,FIFA7
Celtic,78,Premiership,75,76,72,69,25000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,13,25,27.0,25.68,https://sofifa.com/team/78/celtic/,Scotland,FIFA7
Boca Juniors,1877,Liga Profesional de Fútbol,75,67,69,73,3500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,10,25,26.91,24.28,https://sofifa.com/team/1877/boca-juniors/,Argentina,FIFA7
São Paulo,598,Série A,75,76,73,72,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,10,23,27.73,26.39,https://sofifa.com/team/598/sao-paulo/,Brazil,FIFA7
Charlton Athletic,89,Premier League,75,76,73,70,12500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,12,25,27.55,25.96,https://sofifa.com/team/89/charlton-athletic/,Britain,FIFA7
Fulham FC,144,Premier League,75,77,72,74,10000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,10,25,28.64,27.48,https://sofifa.com/team/144/fulham-fc/,Britain,FIFA7
Hertha BSC,166,Bundesliga,75,67,73,73,2000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,11,23,27.73,25.22,https://sofifa.com/team/166/hertha-bsc/,Germany,FIFA7
VfL Wolfsburg,175,Bundesliga,75,75,70,76,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,10,23,27.55,26.96,https://sofifa.com/team/175/vfl-wolfsburg/,Germany,FIFA7
SL Benfica,234,Primeira Liga,75,77,73,72,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,12,23,27.45,27.17,https://sofifa.com/team/234/sl-benfica/,Portugal,FIFA7
RC Deportivo de La Coruña,242,La Liga,75,72,74,74,8000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,13,23,25.82,25.65,https://sofifa.com/team/242/rc-deportivo-de-la-coruna/,Spain,FIFA7
PSV,247,Eredivisie,75,76,71,75,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,14,23,25.73,24.96,https://sofifa.com/team/247/psv/,Netherlands,FIFA7
Portsmouth,1790,Premier League,75,77,73,75,22000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,11,25,28.09,26.72,https://sofifa.com/team/1790/portsmouth/,Britain,FIFA7
Internacional,1048,Série A,74,72,70,70,1500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,16,8,21,28.55,26.67,https://sofifa.com/team/1048/internacional/,Brazil,FIFA7
Eintracht Frankfurt,1824,Bundesliga,74,74,69,73,3000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,10,23,25.18,25.52,https://sofifa.com/team/1824/eintracht-frankfurt/,Germany,FIFA7
Livorno,1844,Serie A,74,79,73,76,1000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,7,23,28.55,28.22,https://sofifa.com/team/1844/livorno/,Italy,FIFA7
AJ Auxerre,57,Ligue 1,74,68,74,71,10000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,10,23,24.64,24.35,https://sofifa.com/team/57/aj-auxerre/,France,FIFA7
Levante UD,1853,La Liga,74,75,74,73,2500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,8,23,29.82,29.0,https://sofifa.com/team/1853/levante-ud/,Spain,FIFA7
Getafe CF,1860,La Liga,74,72,74,75,1000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,8,23,27.36,26.87,https://sofifa.com/team/1860/getafe-cf/,Spain,FIFA7
FC Nantes,71,Ligue 1,74,70,72,70,7000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,9,23,26.55,24.3,https://sofifa.com/team/71/fc-nantes/,France,FIFA7
Panathinaikos FC,1884,Super League,74,78,73,68,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,11,23,26.91,25.3,https://sofifa.com/team/1884/panathinaikos-fc/,Greece,FIFA7
Wigan Athletic,1917,Premier League,74,71,71,69,12500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,10,25,27.0,26.6,https://sofifa.com/team/1917/wigan-athletic/,Britain,FIFA7
RC Celta,450,La Liga,74,76,73,72,6000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,11,23,27.0,25.83,https://sofifa.com/team/450/rc-celta/,Spain,FIFA7
Hannover 96,485,Bundesliga,74,70,71,74,300000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,9,23,28.91,27.13,https://sofifa.com/team/485/hannover-96/,Germany,FIFA7
Sporting CP,237,Primeira Liga,74,74,74,69,1800000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,11,23,25.0,24.52,https://sofifa.com/team/237/sporting-cp/,Portugal,FIFA7
Corinthians,1041,Série A,73,76,71,70,20000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,10,23,24.73,24.09,https://sofifa.com/team/1041/corinthians/,Brazil,FIFA7
AS Saint-Étienne,1819,Ligue 1,73,74,71,75,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,9,22,26.55,24.14,https://sofifa.com/team/1819/as-saint-etienne/,France,FIFA7
Parma,50,Serie A,73,72,69,69,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,11,23,27.27,26.0,https://sofifa.com/team/50/parma/,Italy,FIFA7
OGC Nice,72,Ligue 1,73,69,69,70,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,10,23,26.0,25.17,https://sofifa.com/team/72/ogc-nice/,France,FIFA7
River Plate,1876,Liga Profesional de Fútbol,73,66,70,72,500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,10,25,26.0,24.6,https://sofifa.com/team/1876/river-plate/,Argentina,FIFA7
Rangers FC,86,Premiership,73,75,72,71,25000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,12,25,25.27,25.24,https://sofifa.com/team/86/rangers-fc/,Scotland,FIFA7
Club América,1879,Liga MX,73,75,68,70,1500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,5,23,26.55,25.74,https://sofifa.com/team/1879/club-america/,Mexico,FIFA7
Birmingham City,88,Championship,73,71,68,72,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,10,20,26.18,25.05,https://sofifa.com/team/88/birmingham-city/,Britain,FIFA7
FC Basel 1893,896,Super League,73,70,68,73,4000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,10,23,26.82,24.48,https://sofifa.com/team/896/fc-basel-1893/,Switzerland,FIFA7
1. FC Nürnberg,171,Bundesliga,73,74,73,71,3000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,9,23,25.45,26.09,https://sofifa.com/team/171/1-fc-nurnberg/,Germany,FIFA7
FC Sochaux-Montbéliard,226,Ligue 1,73,65,71,72,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,9,23,25.09,25.39,https://sofifa.com/team/226/fc-sochaux-montbeliard/,France,FIFA7
RSC Anderlecht,229,Pro League,73,70,70,69,5400000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,12,23,24.55,23.39,https://sofifa.com/team/229/rsc-anderlecht/,Belgium,FIFA7
Sheffield United,1794,Premier League,72,71,66,69,20000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,11,25,23.82,25.72,https://sofifa.com/team/1794/sheffield-united/,Britain,FIFA7
Toulouse FC,1809,Ligue 1,72,71,69,68,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,8,23,25.64,23.57,https://sofifa.com/team/1809/toulouse-fc/,France,FIFA7
AEK Athens,278,Super League,72,72,69,62,2000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,10,23,28.0,25.83,https://sofifa.com/team/278/aek-athens/,Greece,FIFA7
Santos,1053,Série A,72,72,74,69,2000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,17,9,21,26.82,25.67,https://sofifa.com/team/1053/santos/,Brazil,FIFA7
ESTAC Troyes,294,Ligue 1,72,71,72,70,4000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,5,23,28.27,26.7,https://sofifa.com/team/294/estac-troyes/,France,FIFA7
Siena,1838,Serie A,72,75,69,62,1000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,7,23,28.82,26.04,https://sofifa.com/team/1838/siena/,Italy,FIFA7
Cagliari,1842,Serie A,72,78,68,64,1000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,8,23,26.09,25.74,https://sofifa.com/team/1842/cagliari/,Italy,FIFA7
Ascoli,1847,Serie A,72,73,69,66,2500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,7,23,27.82,26.3,https://sofifa.com/team/1847/ascoli/,Italy,FIFA7
Cruzeiro,568,Série A,72,73,70,66,500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,16,9,23,24.36,23.65,https://sofifa.com/team/568/cruzeiro/,Brazil,FIFA7
RC Recreativo de Huelva,571,La Liga,72,74,73,70,1500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,8,23,26.18,26.22,https://sofifa.com/team/571/rc-recreativo-de-huelva/,Spain,FIFA7
Beşiktaş JK,327,Süper Lig,72,71,68,71,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,17,12,23,26.09,24.39,https://sofifa.com/team/327/besiktas-jk/,Turkey,FIFA7
Guadalajara,1880,Liga MX,72,70,67,71,1300000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,8,23,24.73,24.26,https://sofifa.com/team/1880/guadalajara/,Mexico,FIFA7
West Bromwich Albion,109,Championship,72,74,72,71,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,10,21,29.0,26.81,https://sofifa.com/team/109/west-bromwich-albion/,Britain,FIFA7
DSC Arminia Bielefeld,159,Bundesliga,72,73,71,72,2500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,8,23,28.55,27.52,https://sofifa.com/team/159/dsc-arminia-bielefeld/,Germany,FIFA7
VfL Bochum 1848,160,Bundesliga,72,71,72,71,2000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,8,23,26.91,26.39,https://sofifa.com/team/160/vfl-bochum-1848/,Germany,FIFA7
1. FSV Mainz 05,169,Bundesliga,72,70,71,70,1500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,8,23,25.82,24.91,https://sofifa.com/team/169/1-fsv-mainz-05/,Germany,FIFA7
Gimnàstic de Tarragona,15019,La Liga,72,73,69,69,1500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,7,23,27.55,27.17,https://sofifa.com/team/15019/gimnastic-de-tarragona/,Spain,FIFA7
Trabzonspor,436,Süper Lig,72,70,74,67,2500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,10,21,25.55,25.38,https://sofifa.com/team/436/trabzonspor/,Turkey,FIFA7
FC Red Bull Salzburg,191,Bundesliga,72,71,66,71,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,16,10,23,28.36,28.52,https://sofifa.com/team/191/fc-red-bull-salzburg/,Austria,FIFA7
RCD Mallorca,453,La Liga,72,71,72,71,2500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,11,23,27.55,25.83,https://sofifa.com/team/453/rcd-mallorca/,Spain,FIFA7
Racing Santander,456,La Liga,72,74,72,67,2500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,10,23,26.36,25.57,https://sofifa.com/team/456/racing-santander/,Spain,FIFA7
Real Sociedad,457,La Liga,72,71,73,70,2500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,16,12,23,26.0,25.83,https://sofifa.com/team/457/real-sociedad/,Spain,FIFA7
Empoli,1746,Serie A,72,70,72,66,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,6,23,28.36,26.74,https://sofifa.com/team/1746/empoli/,Italy,FIFA7
Feyenoord,246,Eredivisie,72,76,70,72,4200000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,13,23,25.09,25.39,https://sofifa.com/team/246/feyenoord/,Netherlands,FIFA7
Reading FC,1793,Premier League,71,72,71,64,25000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,9,25,25.82,24.88,https://sofifa.com/team/1793/reading-fc/,Britain,FIFA7
Atalanta,39,Serie A,71,74,72,69,4500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,9,23,28.27,27.78,https://sofifa.com/team/39/atalanta/,Italy,FIFA7
