Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 26,href,country
,Granada CF  La Liga,110832,73,73,72,71,€5M,€0,Balanced,Normal,Mixed,Organised,Lots,Risky,Normal,Organised,Press,Medium,Normal,Cover,5,14,33,26.27,23.12,,https://sofifa.com/team/110832/granada-cf/,Spain
,Crystal Palace  Premier League,1799,72,71,72,71,€7M,€0,Balanced,Normal,Long,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,10,10,33,26.18,25.55,,https://sofifa.com/team/1799/crystal-palace/,England
,Toulouse FC  Ligue 1,1809,72,74,72,71,€6M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,14,33,24.27,22.85,,https://sofifa.com/team/1809/toulouse-fc/,France
,SC Freiburg  Bundesliga,25,72,70,72,71,€4.5M,€0,Balanced,Normal,Mixed,Organised,Little,Normal,Normal,Free form,Press,Medium,Normal,Cover,11,11,33,23.73,22.64,,https://sofifa.com/team/25/sc-freiburg/,Germany
,Santos  Série A,1053,72,71,72,71,€10M,€0,Balanced,Normal,Mixed,Organised,Little,Normal,Normal,Free form,Press,Medium,Normal,Cover,17,12,30,23.36,23.03,,https://sofifa.com/team/1053/santos/,Brazil
,Fluminense  Série A,567,72,77,71,69,€6.5M,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,16,10,30,27.18,24.0,,https://sofifa.com/team/567/fluminense/,Brazil
,FC Augsburg  Bundesliga,100409,72,73,70,73,€2.5M,€0,Balanced,Normal,Long,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,9,31,26.09,24.06,,https://sofifa.com/team/100409/fc-augsburg/,Germany
,OGC Nice  Ligue 1,72,72,73,71,70,€4.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,13,33,24.27,22.03,,https://sofifa.com/team/72/ogc-nice/,France
,River Plate  Liga Profesional de Fútbol,1876,72,71,71,73,€3.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,12,30,26.18,24.07,,https://sofifa.com/team/1876/river-plate/,Argentina
,Wigan Athletic  Championship,1917,72,72,70,70,€8.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,15,30,27.09,25.37,,https://sofifa.com/team/1917/wigan-athletic/,England
,Rubin Kazan  Premier League,110227,72,57,72,70,€12.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,16,15,30,27.0,25.13,,https://sofifa.com/team/110227/rubin-kazan/,Russia
,Hull City  Premier League,1952,72,72,71,71,€6.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,9,33,26.55,25.12,,https://sofifa.com/team/1952/hull-city/,England
,Cardiff City  Premier League,1961,72,72,70,73,€6.8M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Deep,Normal,Cover,11,8,33,23.55,23.82,,https://sofifa.com/team/1961/cardiff-city/,England
,AC ChievoVerona  Serie A,192,72,73,73,72,€3M,€0,Balanced,Normal,Long,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,14,33,28.73,25.52,,https://sofifa.com/team/192/ac-chievoverona/,Italy
,Real Valladolid CF  La Liga,462,72,73,72,71,€3M,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,12,33,28.0,24.73,,https://sofifa.com/team/462/real-valladolid-cf/,Spain
,Elche CF  La Liga,468,72,71,72,72,€1.9M,€0,Balanced,Normal,Long,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,10,33,26.27,25.48,,https://sofifa.com/team/468/elche-cf/,Spain
,FC Lorient  Ligue 1,217,72,76,71,71,€3.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,13,32,25.82,23.63,,https://sofifa.com/team/217/fc-lorient/,France
,CA Osasuna  La Liga,479,72,71,71,73,€4.8M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,15,30,27.36,25.2,,https://sofifa.com/team/479/ca-osasuna/,Spain
,Vélez Sarsfield  Liga Profesional de Fútbol,101088,72,74,72,73,€3.2M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Offside trap,17,8,30,25.73,22.63,,https://sofifa.com/team/101088/velez-sarsfield/,Argentina
,RSC Anderlecht  Pro League,229,72,73,70,71,€6M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,11,27,22.36,22.44,,https://sofifa.com/team/229/rsc-anderlecht/,Belgium
,Standard de Liège  Pro League,232,72,74,71,71,€5.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,18,11,26,24.91,22.81,,https://sofifa.com/team/232/standard-de-liege/,Belgium
,San Lorenzo de Almagro  Liga Profesional de Fútbol,1013,72,72,73,70,€2.6M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,18,5,29,26.09,24.41,,https://sofifa.com/team/1013/san-lorenzo-de-almagro/,Argentina
,Feyenoord  Eredivisie,246,72,72,72,71,€4M,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,13,24,23.18,23.46,,https://sofifa.com/team/246/feyenoord/,Netherlands
,Club Athletico Paranaense  Série A,1039,71,73,66,67,€1M,€0,Fast,Normal,Long,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,9,30,21.27,22.4,,https://sofifa.com/team/1039/club-athletico-paranaense/,Brazil
,Catania  Serie A,110364,71,72,72,70,€5M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Double,Deep,Normal,Cover,11,16,31,26.73,23.71,,https://sofifa.com/team/110364/catania/,Italy
,Livorno  Serie A,1844,71,72,70,69,€2.5M,€0,Balanced,Normal,Long,Organised,Little,Normal,Lots,Organised,Press,Deep,Narrow,Cover,10,10,25,24.91,25.28,,https://sofifa.com/team/1844/livorno/,Italy
,Sporting Club Bastia  Ligue 1,58,71,72,71,71,€2M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,10,28,26.27,25.54,,https://sofifa.com/team/58/sporting-club-bastia/,France
,Lanús  Liga Profesional de Fútbol,110395,71,72,71,70,€710K,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,15,3,29,26.82,23.59,,https://sofifa.com/team/110395/lanus/,Argentina
,FC Nantes  Ligue 1,71,71,71,70,73,€2M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,11,33,25.64,23.42,,https://sofifa.com/team/71/fc-nantes/,France
,Celtic  Premiership,78,71,70,70,72,€6M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,10,30,25.55,23.03,,https://sofifa.com/team/78/celtic/,Scotland
,Club América  Liga MX,1879,71,71,70,72,€7M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Deep,Normal,Cover,20,11,30,28.36,24.4,,https://sofifa.com/team/1879/club-america/,Mexico
,Sassuolo  Serie A,111974,71,73,70,71,€3M,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Offside trap,7,8,33,27.09,25.79,,https://sofifa.com/team/111974/sassuolo/,Italy
,Alkmaar Zaanstreek  Eredivisie,1906,71,71,71,70,€4M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,16,11,29,23.36,23.03,,https://sofifa.com/team/1906/alkmaar-zaanstreek/,Netherlands
,FC Twente  Eredivisie,1908,71,71,72,71,€5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,18,12,30,22.45,21.5,,https://sofifa.com/team/1908/fc-twente/,Netherlands
,Vitesse  Eredivisie,1909,71,70,72,70,€6.5M,€0,Balanced,Normal,Short,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,9,26,22.36,21.73,,https://sofifa.com/team/1909/vitesse/,Netherlands
,Valenciennes FC  Ligue 1,110456,71,72,68,69,€3M,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,9,13,29,26.55,24.48,,https://sofifa.com/team/110456/valenciennes-fc/,France
,Stade de Reims  Ligue 1,379,71,70,73,70,€2.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Deep,Normal,Cover,10,10,29,25.91,23.83,,https://sofifa.com/team/379/stade-de-reims/,France
,FC Basel 1893  Super League,896,71,74,69,69,€6.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,9,27,24.82,23.52,,https://sofifa.com/team/896/fc-basel-1893/,Switzerland
,KRC Genk  Pro League,673,71,75,70,71,€3.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,16,9,27,26.18,23.48,,https://sofifa.com/team/673/krc-genk/,Belgium
,Thonon Evian Grand Genève FC  Ligue 1,111271,71,73,71,66,€3M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,8,12,29,25.36,25.48,,https://sofifa.com/team/111271/thonon-evian-grand-geneve-fc/,France
,Bologna  Serie A,189,71,71,71,72,€3M,€0,Balanced,Normal,Mixed,Organised,Normal,Safe,Normal,Organised,Press,Deep,Normal,Cover,13,14,30,28.09,25.73,,https://sofifa.com/team/189/bologna/,Italy
,Coritiba  Série A,111044,71,70,72,67,€500K,€0,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,12,9,30,25.82,24.7,,https://sofifa.com/team/111044/coritiba/,Brazil
,Club Brugge KV  Pro League,231,71,72,70,70,€5.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,18,11,27,25.18,24.37,,https://sofifa.com/team/231/club-brugge-kv/,Belgium
,Reading FC  Championship,1793,70,70,69,68,€8.5M,€0,Balanced,Little,Long,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,11,10,30,24.91,23.83,,https://sofifa.com/team/1793/reading-fc/,England
,Watford  Championship,1795,70,71,68,69,€3.8M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,10,9,30,26.18,23.63,,https://sofifa.com/team/1795/watford/,England
,Bolton Wanderers  Championship,4,70,70,71,69,€7M,€0,Balanced,Normal,Long,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,13,13,30,26.09,25.13,,https://sofifa.com/team/4/bolton-wanderers/,England
,Atlético Morelia  Liga MX,1028,70,72,70,68,€3M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,10,7,27,27.45,26.44,,https://sofifa.com/team/1028/atletico-morelia/,Mexico
,Monterrey  Liga MX,1032,70,71,66,68,€9M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,14,11,30,27.82,23.97,,https://sofifa.com/team/1032/monterrey/,Mexico
,FC Kuban Krasnodar  Premier League,110089,70,67,72,67,€4.8M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,14,13,27,26.82,23.93,,https://sofifa.com/team/110089/fc-kuban-krasnodar/,Russia
,1. FC Kaiserslautern  2. Bundesliga,29,70,71,68,68,€3M,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,10,28,23.73,24.5,,https://sofifa.com/team/29/1-fc-kaiserslautern/,Germany
,1. FC Köln  2. Bundesliga,31,70,74,70,69,€3M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,11,26,24.64,23.15,,https://sofifa.com/team/31/1-fc-koln/,Germany
,GD Estoril Praia  Primeira Liga,10020,70,69,71,69,€250K,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,3,4,27,25.73,24.26,,https://sofifa.com/team/10020/gd-estoril-praia/,Portugal
,Palermo FC  Serie B,1843,70,71,68,70,€12M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,14,28,26.0,24.64,,https://sofifa.com/team/1843/palermo-fc/,Italy
,Vasco da Gama  Série A,569,70,71,70,68,€1M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,16,9,26,27.18,25.81,,https://sofifa.com/team/569/vasco-da-gama/,Brazil
,Bahia  Série A,1598,70,69,69,68,€250K,€0,Balanced,Normal,Mixed,Organised,Lots,Safe,Normal,Organised,Press,Medium,Normal,Cover,11,9,30,25.82,24.63,,https://sofifa.com/team/1598/bahia/,Brazil
,Santos Laguna  Liga MX,110144,70,71,67,67,€5M,€0,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,13,8,28,26.36,23.5,,https://sofifa.com/team/110144/santos-laguna/,Mexico
,UD Almería  La Liga,1861,70,73,69,70,€5.3M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,9,12,31,27.91,24.61,,https://sofifa.com/team/1861/ud-almeria/,Spain
,Orlando Pirates  Premier Soccer League,110930,70,70,68,68,€350K,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,18,7,28,26.55,25.89,,https://sofifa.com/team/110930/orlando-pirates/,South Africa
,Cruz Azul  Liga MX,1878,70,70,69,70,€8M,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,19,8,30,28.45,26.0,,https://sofifa.com/team/1878/cruz-azul/,Mexico
,FC Krasnodar  Premier League,112218,70,76,69,69,€4.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,12,28,25.55,24.75,,https://sofifa.com/team/112218/fc-krasnodar/,Russia
,Panathinaikos FC  Super League,1884,70,71,69,66,€10M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,18,12,28,24.55,22.57,,https://sofifa.com/team/1884/panathinaikos-fc/,Greece
,Al Hilal  Pro League,605,70,72,72,66,€10M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,20,7,30,25.55,24.63,,https://sofifa.com/team/605/al-hilal/,Saudi Arabia
,Colo-Colo  Primera Division,110980,70,69,70,69,€950K,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,6,28,27.0,23.79,,https://sofifa.com/team/110980/colo-colo/,Chile
,Eintracht Braunschweig  Bundesliga,110500,70,70,69,69,€1.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Deep,Normal,Cover,8,7,29,24.64,25.17,,https://sofifa.com/team/110500/eintracht-braunschweig/,Germany
,Tigres UANL  Liga MX,1970,70,72,70,71,€10M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,10,29,26.91,25.21,,https://sofifa.com/team/1970/tigres-uanl/,Mexico
,León  Liga MX,110781,70,69,72,69,€2M,€0,Balanced,Normal,Mixed,Organised,Little,Normal,Normal,Organised,Press,Medium,Normal,Cover,3,0,30,27.55,24.73,,https://sofifa.com/team/110781/leon/,Mexico
,FC Sochaux-Montbéliard  Ligue 1,226,70,71,68,68,€4M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,14,33,25.27,24.12,,https://sofifa.com/team/226/fc-sochaux-montbeliard/,France
,Atlético Nacional  Categoría Primera A,101100,70,69,71,68,€770K,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,20,5,28,25.27,25.46,,https://sofifa.com/team/101100/atletico-nacional/,Colombia
,Real Zaragoza  La Liga 2,244,70,70,69,68,€2.8M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,16,14,28,26.09,23.79,,https://sofifa.com/team/244/real-zaragoza/,Spain
,Burnley  Championship,1796,69,70,69,69,€3.3M,€0,Balanced,Little,Long,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,10,8,30,26.09,23.77,,https://sofifa.com/team/1796/burnley/,England
,Middlesbrough  Championship,12,69,71,68,66,€3.5M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,11,11,30,25.09,23.87,,https://sofifa.com/team/12/middlesbrough/,England
,Nottingham Forest  Championship,14,69,69,69,68,€5M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,9,30,23.91,26.17,,https://sofifa.com/team/14/nottingham-forest/,England
,Brighton & Hove Albion  Championship,1808,69,69,66,69,€5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,9,8,30,27.64,25.53,,https://sofifa.com/team/1808/brighton-hove-albion/,England
