Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Joined,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Tactical Awareness,Positioning,Vision,Penalties,Composure,Total defending,Marking,Tackling,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Traits,Traits.1,PlayStyles,PlayStyles +,Number of traits,Acceleration Type,Unnamed: 78,href,country
,M. Essien CM,23,86,91,Chelsea 2010,45674,"180cm / 5'11""",77kg / 170lbs,Right,86,CM,,€0,€0,€0,281,61,57,71,92,0,323,79,0,82,77,85,254,81,85,0,88,0,323,68,0,91,84,80,155,73,0,0,0,0,82,166,78,88,0,37,10,9,0,7,11,1539,476,3,1,,,1,PLAYER_BODY_TYPE_,Yes,83,66,80,82,81,84,Leadership Flexibility,,,,2,,,https://sofifa.com/player/45674/michael-essien/070002/,Ghana
,M. Camoranesi RM,29,86,85,Juventus 2009,45461,"174cm / 5'9""",70kg / 154lbs,Right,86,CF,,€0,€0,€0,290,91,56,62,81,0,318,83,0,72,79,84,245,78,84,0,83,0,311,67,0,88,70,86,157,85,0,0,0,0,72,145,74,71,0,37,9,6,0,8,14,1503,463,4,1,,,4,PLAYER_BODY_TYPE_,Yes,81,67,82,83,72,78,Leadership Flexibility,,,,2,,,https://sofifa.com/player/45461/mauro-camoranesi/070002/,Italy
,R. Márquez CB,27,86,88,FC Barcelona 2010,26709,"182cm / 6'0""",73kg / 161lbs,Right,86,CB,,€0,€0,€0,290,71,58,88,73,0,310,69,0,87,81,73,233,78,71,0,84,0,287,62,0,81,88,56,158,71,0,0,0,0,87,176,89,87,0,26,8,7,0,6,5,1480,454,3,1,,,2,PLAYER_BODY_TYPE_,Yes,74,60,76,73,88,83,Ambition Leadership,,,,2,,,https://sofifa.com/player/26709/rafael-marquez/070002/,Mexico
,Rogério Ceni GK,33,86,87,São Paulo 2008,21570,"188cm / 6'2""",85kg / 187lbs,Right,86,GK,,€0,€0,€0,97,37,12,11,37,0,222,19,0,74,93,36,134,49,39,0,46,0,195,45,0,57,75,18,116,42,0,0,0,0,74,20,12,8,0,347,88,82,0,90,87,1131,484,3,1,,,4,PLAYER_BODY_TYPE_,Yes,88,82,93,87,44,90,Leadership Crowd favourite Media darling,,,,3,,,https://sofifa.com/player/21570/rogerio-ceni/070002/,Brazil
,Quaresma RW,22,86,90,FC Porto 2009,20775,"173cm / 5'8""",67kg / 148lbs,Right,86,CF,,€0,€0,€0,306,86,70,66,84,0,334,86,0,80,81,87,242,82,87,0,73,0,306,77,0,81,67,81,158,78,0,0,0,0,80,80,36,44,0,32,7,7,0,6,12,1458,442,4,1,,,3,PLAYER_BODY_TYPE_,Yes,85,75,83,84,42,73,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/20775/quaresma/070002/,Portugal
,Valerón CAM,31,86,89,RC Deportivo de La Coruña 2010,19896,"180cm / 5'11""",72kg / 159lbs,Right,86,CAM,,€0,€0,€0,322,78,76,74,94,0,353,87,0,85,93,88,246,81,77,0,88,0,255,59,0,69,47,80,117,32,0,0,0,0,85,34,12,22,0,24,5,9,0,5,5,1351,403,4,1,,,3,PLAYER_BODY_TYPE_,Yes,79,74,89,88,22,51,Leadership Crowd favourite Media darling,,,,3,,,https://sofifa.com/player/19896/valeron/070002/,Spain
,P. Robinson GK,26,86,90,Tottenham Hotspur 2012,13914,"193cm / 6'4""",90kg / 198lbs,Right,86,GK,,€0,€0,€0,48,9,8,8,23,0,195,7,0,84,84,20,189,53,58,0,78,0,155,25,0,40,81,9,100,16,0,0,0,0,84,18,10,8,0,342,87,83,0,88,84,1047,482,3,1,,,3,PLAYER_BODY_TYPE_,Yes,87,83,84,84,56,88,Adaptability Leadership High club identification Crowd favourite,,,,4,,,https://sofifa.com/player/13914/paul-robinson/070002/,England
,K. Kaladze CB,28,86,87,AC Milan 2008,7142,"186cm / 6'1""",76kg / 168lbs,Left,86,CB,,€0,€0,€0,275,77,34,87,77,0,288,65,0,65,82,76,231,72,75,0,84,0,281,78,0,86,75,42,139,74,0,0,0,0,65,176,91,85,0,35,8,7,0,12,8,1425,435,3,1,,,1,PLAYER_BODY_TYPE_,Yes,74,46,77,72,88,78,Adaptability Leadership,,,,2,,,https://sofifa.com/player/7142/kakhaber-kaladze/070002/,Georgia
,E. Gudjohnsen CF,27,86,86,FC Barcelona 2010,5744,"185cm / 6'1""",83kg / 183lbs,Right,86,CF,,€0,€0,€0,309,69,88,84,68,0,310,82,0,85,57,86,253,78,84,0,91,0,321,85,0,85,72,79,106,21,0,0,0,0,85,99,42,57,0,39,10,13,0,9,7,1437,436,4,1,,,1,PLAYER_BODY_TYPE_,Yes,81,85,67,85,52,66,Adaptability Leadership,,,,2,,,https://sofifa.com/player/5744/eidur-gudjohnsen/070002/,Iceland
,J. Stam CB,33,86,90,Ajax 2008,5740,"188cm / 6'2""",86kg / 190lbs,Right,86,CB,,€0,€0,€0,215,40,24,91,60,0,255,56,0,90,34,75,223,70,72,0,81,0,259,65,0,80,95,19,176,86,0,0,0,0,90,168,81,87,0,42,6,14,0,12,10,1338,396,3,1,,,4,PLAYER_BODY_TYPE_,Yes,71,34,52,66,84,89,Inflexible Leadership,,,,2,,,https://sofifa.com/player/5740/jaap-stam/070002/,Netherlands
,T. Frings CDM,29,86,88,SV Werder Bremen 2008,5430,"182cm / 6'0""",80kg / 176lbs,Right,87,CDM,,€0,€0,€0,317,83,63,81,90,0,315,75,0,70,89,81,233,76,72,0,85,0,338,72,0,94,88,84,152,82,0,0,0,0,70,176,87,89,0,46,12,15,0,11,8,1577,485,4,1,,,3,PLAYER_BODY_TYPE_,Yes,74,70,86,79,87,89,Leadership Flexibility,,,,2,,,https://sofifa.com/player/5430/torsten-frings/070002/,Germany
,M. Owen ST,26,86,90,Newcastle United 2009,5419,"175cm / 5'9""",68kg / 150lbs,Right,86,ST,,€0,€0,€0,318,69,92,79,78,0,299,78,0,92,46,83,269,92,87,0,90,0,303,82,0,85,62,74,149,57,0,0,0,0,92,61,32,29,0,39,15,6,0,7,11,1438,430,4,1,,,4,PLAYER_BODY_TYPE_,Yes,89,86,69,82,36,68,Leadership High training work rate Media darling,,,,3,,,https://sofifa.com/player/5419/michael-owen/070002/,England
,G. Zambrotta RB,29,86,89,FC Barcelona 2010,5099,"181cm / 5'11""",76kg / 168lbs,Right,88,CF,,€0,€0,€0,304,88,62,71,83,0,325,81,0,78,82,84,260,87,89,0,84,0,340,77,0,94,87,82,161,83,0,0,0,0,78,176,87,89,0,47,14,10,0,15,8,1613,500,5,1,,,4,PLAYER_BODY_TYPE_,Yes,88,71,84,83,86,88,Leadership Flexibility,,,,2,,,https://sofifa.com/player/5099/gianluca-zambrotta/070002/,Italy
,A. Recoba CF,30,86,87,Inter 2006,4738,"179cm / 5'10""",79kg / 174lbs,Left,86,CF,,€0,€0,€0,283,55,82,62,84,0,310,92,0,64,66,88,234,77,86,0,71,0,338,91,0,72,82,93,148,84,0,0,0,0,64,34,11,23,0,43,6,10,0,14,13,1390,425,4,1,,,2,PLAYER_BODY_TYPE_,Yes,82,86,70,87,21,79,Leadership,,,,1,,,https://sofifa.com/player/4738/alvaro-recoba/070002/,Uruguay
,Rivaldo CAM,34,86,90,Olympiacos FC 2006,4231,"186cm / 6'1""",75kg / 165lbs,Left,87,CF,,€0,€0,€0,338,88,88,80,82,0,345,91,0,79,85,90,232,69,80,0,83,0,327,83,0,78,81,85,163,84,0,0,0,0,79,126,73,53,0,65,12,17,0,18,18,1596,481,3,1,,,4,PLAYER_BODY_TYPE_,Yes,75,86,84,89,66,81,Leadership,,,,1,,,https://sofifa.com/player/4231/rivaldo/070002/,Brazil
,R. Ayala CB,33,86,86,Valencia CF 2007,1131,"177cm / 5'10""",75kg / 165lbs,Right,86,CB,,€0,€0,€0,247,60,31,88,68,0,252,50,0,70,62,70,231,76,80,0,75,0,288,65,0,82,85,56,157,87,0,0,0,0,70,176,90,86,0,42,7,10,0,11,14,1393,423,4,1,,,4,PLAYER_BODY_TYPE_,Yes,78,46,65,61,88,85,Leadership,,,,1,,,https://sofifa.com/player/1131/roberto-ayala/070002/,Argentina
,J. Zanetti RWB,32,86,85,Inter 2007,1041,"178cm / 5'10""",75kg / 165lbs,Right,87,RWB,,€0,€0,€0,255,76,30,73,76,0,324,70,0,88,78,88,224,77,79,0,68,0,300,88,0,90,86,36,177,89,0,0,0,0,88,180,89,91,0,44,10,11,0,13,10,1504,454,4,1,,,4,PLAYER_BODY_TYPE_,Yes,78,46,78,76,88,88,Leadership High club identification Crowd favourite,,,,3,,,https://sofifa.com/player/1041/javier-zanetti/070002/,Argentina
,W. Sagnol RWB,29,86,91,FC Bayern München 2010,883,"180cm / 5'11""",78kg / 172lbs,Right,86,RWB,,€0,€0,€0,266,90,23,75,78,0,340,82,0,89,85,84,256,84,82,0,90,0,246,53,0,85,67,41,164,75,0,0,0,0,89,177,89,88,0,44,10,15,0,10,9,1493,449,4,1,,,4,PLAYER_BODY_TYPE_,Yes,83,37,84,84,87,74,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/883/willy-sagnol/070002/,France
,R. Keane ST,25,86,88,Tottenham Hotspur 2010,330,"176cm / 5'9""",70kg / 154lbs,Right,86,ST,,€0,€0,€0,232,36,86,47,63,0,295,90,0,78,38,89,255,84,85,0,86,0,305,82,0,86,64,73,98,20,0,0,0,0,78,52,27,25,0,50,14,13,0,13,10,1287,398,3,1,,,3,PLAYER_BODY_TYPE_,Yes,85,82,52,89,28,62,Leadership,,,,1,,,https://sofifa.com/player/330/robbie-keane/070002/,Republic of Ireland
,P. Scholes CAM,31,86,89,Manchester United 2009,246,"170cm / 5'7""",70kg / 154lbs,Right,86,CAM,,€0,€0,€0,332,73,80,86,93,0,349,80,0,91,88,90,233,75,73,0,85,0,325,88,0,88,61,88,184,93,0,0,0,0,91,147,83,64,0,40,13,10,0,9,8,1610,481,3,1,,,4,PLAYER_BODY_TYPE_,Yes,74,84,87,84,76,76,Leadership High club identification,,,,2,,,https://sofifa.com/player/246/paul-scholes/070002/,England
,F. Fabregas CM,19,85,90,Arsenal 2011,162895,"175cm / 5'9""",72kg / 159lbs,Right,85,CM,,€0,€0,€0,308,66,74,75,93,0,335,86,0,84,83,82,243,75,87,0,81,0,290,71,0,84,78,57,153,69,0,0,0,0,84,152,73,79,0,40,11,14,0,6,9,1521,473,3,1,,,4,PLAYER_BODY_TYPE_,Yes,82,70,83,84,76,78,Leadership,,,,1,,,https://sofifa.com/player/162895/francesc-fabregas/070002/,Spain
,L. Messi RF,19,85,94,FC Barcelona 2014,158023,"169cm / 5'7""",67kg / 148lbs,Left,89,CF,,€0,€0,€0,306,85,76,59,86,0,353,95,0,87,79,92,271,92,94,0,85,0,296,83,0,74,55,84,149,62,0,0,0,0,87,45,20,25,0,45,8,9,0,12,16,1465,437,3,1,,,4,PLAYER_BODY_TYPE_,Yes,93,80,84,92,26,62,Leadership High club identification Media darling,,,,3,,,https://sofifa.com/player/158023/lionel-messi/070002/,Argentina
,F. Ribéry CAM,23,85,92,Olympique de Marseille 2010,156616,"170cm / 5'7""",62kg / 137lbs,Right,87,CF,,€0,€0,€0,306,83,75,62,86,0,332,92,0,76,79,85,266,91,87,0,88,0,315,77,0,89,71,78,147,71,0,0,0,0,76,49,23,26,0,44,7,11,0,15,11,1459,441,4,1,,,3,PLAYER_BODY_TYPE_,Yes,89,76,83,89,28,76,Leadership,,,,1,,,https://sofifa.com/player/156616/franck-ribery/070002/,France
,Sergio Ramos CB,20,85,92,Real Madrid 2013,155862,"183cm / 6'0""",73kg / 161lbs,Right,85,CB,,€0,€0,€0,222,49,21,82,70,0,265,66,0,72,54,73,242,78,84,0,80,0,303,70,0,83,88,62,151,79,0,0,0,0,72,174,90,84,0,43,9,12,0,9,13,1400,429,3,1,,,3,PLAYER_BODY_TYPE_,Yes,81,44,61,71,87,85,Leadership High training work rate,,,,2,,,https://sofifa.com/player/155862/sergio-ramos/070002/,Spain
,L. González CM,25,85,90,FC Porto 2010,142750,"185cm / 6'1""",75kg / 165lbs,Right,85,CM,,€0,€0,€0,322,80,75,78,89,0,342,82,0,85,86,89,238,76,80,0,82,0,312,72,0,86,77,77,136,51,0,0,0,0,85,137,64,73,0,46,9,13,0,9,15,1533,467,4,1,,,3,PLAYER_BODY_TYPE_,Yes,78,75,86,84,69,75,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/142750/luis-oscar-gonzalez/070002/,Argentina
,G. Milito CB,25,85,86,Real Zaragoza 2010,138654,"179cm / 5'10""",75kg / 165lbs,Left,85,CB,,€0,€0,€0,277,68,48,85,76,0,290,56,0,78,77,79,232,75,82,0,75,0,262,67,0,85,83,27,159,81,0,0,0,0,78,171,85,86,0,24,7,6,0,5,6,1415,436,3,1,,,3,PLAYER_BODY_TYPE_,Yes,79,48,74,67,85,83,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/138654/gabriel-milito/070002/,Argentina
,Luis Fabiano ST,25,85,86,Sevilla FC 2010,136194,"183cm / 6'0""",81kg / 179lbs,Right,85,ST,,€0,€0,€0,299,50,88,87,74,0,289,84,0,74,48,83,225,80,83,0,62,0,324,83,0,79,85,77,156,82,0,0,0,0,74,76,46,30,0,49,11,13,0,10,15,1418,435,4,1,,,3,PLAYER_BODY_TYPE_,Yes,82,84,62,80,44,83,Leadership Low club identification,,,,2,,,https://sofifa.com/player/136194/luis-fabiano/070002/,Brazil
,S. Milosevic ST,32,85,87,CA Osasuna 2007,112934,"187cm / 6'2""",82kg / 181lbs,Right,86,ST,,€0,€0,€0,331,79,87,91,74,0,284,77,0,83,40,84,243,79,82,0,82,0,344,90,0,79,87,88,167,84,0,0,0,0,83,37,16,21,0,44,11,14,0,9,10,1450,427,3,1,,,1,PLAYER_BODY_TYPE_,Yes,81,88,68,80,26,84,Inflexible Leadership,,,,2,,,https://sofifa.com/player/112934/savo-milosevic/070002/,Serbia
,L. García CF,28,85,86,Liverpool 2009,110856,"176cm / 5'9""",64kg / 141lbs,Left,85,CF,,€0,€0,€0,321,79,89,69,84,0,337,87,0,83,78,89,240,78,86,0,76,0,278,84,0,60,45,89,147,64,0,0,0,0,83,69,45,24,0,43,9,13,0,13,8,1435,429,3,1,,,3,PLAYER_BODY_TYPE_,Yes,82,88,81,86,39,53,Leadership,,,,1,,,https://sofifa.com/player/110856/luis-garcia/070002/,Spain
,P. Mertesacker CB,21,85,89,SV Werder Bremen 2010,53612,"196cm / 6'5""",85kg / 187lbs,Right,85,CB,,€0,€0,€0,217,38,23,89,67,0,249,45,0,81,58,65,223,73,76,0,74,0,277,75,0,85,82,35,157,76,0,0,0,0,81,174,86,88,0,39,12,6,0,7,14,1336,398,3,1,,,3,PLAYER_BODY_TYPE_,Yes,75,39,59,56,87,82,Leadership,,,,1,,,https://sofifa.com/player/53612/per-mertesacker/070002/,Germany
,F. Meira CB,28,85,88,VfB Stuttgart 2010,47131,"190cm / 6'3""",85kg / 187lbs,Right,85,CB,,€0,€0,€0,261,66,28,88,79,0,283,55,0,84,70,74,230,77,79,0,74,0,245,56,0,82,88,19,166,82,0,0,0,0,84,172,84,88,0,29,8,5,0,7,9,1386,422,3,1,,,3,PLAYER_BODY_TYPE_,Yes,78,34,74,65,86,85,Leadership,,,,1,,,https://sofifa.com/player/47131/fernando-meira/070002/,Portugal
,Juan CB,27,85,89,Bayer 04 Leverkusen 2007,46042,"181cm / 5'11""",73kg / 161lbs,Right,85,CB,,€0,€0,€0,248,52,40,93,63,0,252,48,0,70,65,69,222,84,74,0,64,0,268,64,0,81,75,48,148,78,0,0,0,0,70,175,88,87,0,34,9,13,0,6,6,1347,411,3,1,,,3,PLAYER_BODY_TYPE_,Yes,79,48,61,58,88,77,Leadership,,,,1,,,https://sofifa.com/player/46042/juan/070002/,Brazil
,X. Alonso CM,24,85,87,Liverpool 2009,45197,"183cm / 6'0""",75kg / 165lbs,Right,85,CM,,€0,€0,€0,326,76,82,79,89,0,334,69,0,84,92,89,248,84,83,0,81,0,342,83,0,87,83,89,95,11,0,0,0,0,84,157,85,72,0,39,12,9,0,8,10,1541,480,4,1,,,4,PLAYER_BODY_TYPE_,Yes,83,84,86,78,79,70,Leadership,,,,1,,,https://sofifa.com/player/45197/xabi-alonso/070002/,Spain
,G. Givet CB,24,85,86,AS Monaco 2009,45062,"181cm / 5'11""",80kg / 176lbs,Left,85,CB,,€0,€0,€0,214,26,24,88,76,0,267,42,0,74,79,72,190,63,63,0,64,0,240,47,0,76,86,31,139,65,0,0,0,0,74,176,89,87,0,40,15,8,0,9,8,1266,383,3,1,,,3,PLAYER_BODY_TYPE_,Yes,63,33,64,56,88,79,Leadership High club identification,,,,2,,,https://sofifa.com/player/45062/gael-givet/070002/,France
,D. Drogba ST,28,85,88,Chelsea 2007,31432,"188cm / 6'2""",84kg / 185lbs,Right,85,ST,,€0,€0,€0,305,56,84,92,73,0,255,68,0,64,36,87,253,88,72,0,93,0,344,93,0,87,86,78,148,84,0,0,0,0,64,46,29,17,0,36,11,8,0,10,7,1387,416,3,1,,,4,PLAYER_BODY_TYPE_,Yes,79,83,59,78,31,86,Leadership Scandal prone,,,,2,,,https://sofifa.com/player/31432/didier-drogba/070002/,Côte d'Ivoire
,M. Yepes CB,30,85,89,Paris Saint-Germain 2008,24438,"186cm / 6'1""",83kg / 183lbs,Right,85,CB,,€0,€0,€0,235,42,41,86,66,0,252,47,0,71,61,73,221,71,75,0,75,0,322,82,0,82,86,72,157,86,0,0,0,0,71,173,89,84,0,38,7,10,0,14,7,1398,422,3,1,,,2,PLAYER_BODY_TYPE_,Yes,73,58,59,60,87,85,Adaptability Leadership,,,,2,,,https://sofifa.com/player/24438/mario-yepes/070002/,Colombia
,W. Samuel CB,28,85,87,Inter 2009,23461,"182cm / 6'0""",83kg / 183lbs,Left,85,CB,,€0,€0,€0,232,52,22,78,80,0,274,38,0,88,73,75,242,82,79,0,81,0,323,84,0,89,87,63,175,87,0,0,0,0,88,177,89,88,0,38,6,7,0,14,11,1461,433,3,1,,,4,PLAYER_BODY_TYPE_,Yes,80,48,72,57,88,88,Leadership,,,,1,,,https://sofifa.com/player/23461/walter-adrian-samuel/070002/,Argentina
,M. Krstajic CB,32,85,87,FC Schalke 04 2008,18126,"191cm / 6'3""",81kg / 179lbs,Left,85,CB,,€0,€0,€0,265,53,58,88,66,0,257,49,0,73,68,67,231,73,76,0,82,0,331,85,0,82,88,76,164,91,0,0,0,0,73,172,85,87,0,35,8,9,0,9,9,1455,441,3,1,,,1,PLAYER_BODY_TYPE_,Yes,75,69,64,60,86,87,Leadership,,,,1,,,https://sofifa.com/player/18126/mladen-krstajic/070002/,Serbia
,Xavi CM,26,85,86,FC Barcelona 2010,10535,"170cm / 5'7""",69kg / 152lbs,Right,85,CM,,€0,€0,€0,316,82,72,70,92,0,339,80,0,82,91,86,251,83,79,0,89,0,310,74,0,82,72,82,148,66,0,0,0,0,82,148,67,81,0,34,13,8,0,7,6,1546,474,3,1,,,4,PLAYER_BODY_TYPE_,Yes,81,75,88,83,73,74,Leadership,,,,1,,,https://sofifa.com/player/10535/xavi/070002/,Spain
,T. Rosicky CAM,25,85,91,Arsenal 2009,8473,"175cm / 5'9""",67kg / 148lbs,Right,87,CF,,€0,€0,€0,303,82,72,55,94,0,357,92,0,92,80,93,235,80,78,0,77,0,285,71,0,71,52,91,167,75,0,0,0,0,92,90,41,49,0,35,6,11,0,11,7,1472,442,4,1,,,3,PLAYER_BODY_TYPE_,Yes,79,78,87,90,46,62,Leadership,,,,1,,,https://sofifa.com/player/8473/tomas-rosicky/070002/,Czechia
,G. Heinze CB,28,85,84,Manchester United 2009,8222,"178cm / 5'10""",72kg / 159lbs,Left,85,CB,,€0,€0,€0,281,77,40,89,75,0,278,57,0,84,55,82,240,83,81,0,76,0,260,52,0,82,76,50,173,89,0,0,0,0,84,170,86,84,0,43,13,12,0,12,6,1445,435,3,1,,,3,PLAYER_BODY_TYPE_,Yes,82,47,71,69,86,80,Adaptability Leadership,,,,2,,,https://sofifa.com/player/8222/gabriel-heinze/070002/,Argentina
,R. van Persie ST,22,85,85,Arsenal 2011,7826,"180cm / 5'11""",70kg / 154lbs,Left,85,ST,,€0,€0,€0,323,86,83,76,78,0,320,86,0,80,69,85,262,85,86,0,91,0,318,85,0,80,72,81,138,58,0,0,0,0,80,35,13,22,0,40,6,7,0,13,14,1436,428,3,1,,,3,PLAYER_BODY_TYPE_,Yes,86,83,78,86,23,72,Leadership,,,,1,,,https://sofifa.com/player/7826/robin-van-persie/070002/,Netherlands
,W. Gallas CB,28,85,88,Arsenal 2007,6647,"180cm / 5'11""",72kg / 159lbs,Right,85,CB,,€0,€0,€0,192,26,24,79,63,0,214,42,0,73,26,73,245,81,81,0,83,0,237,34,0,86,91,26,155,82,0,0,0,0,73,176,88,88,0,34,7,11,0,9,7,1253,390,3,1,,,4,PLAYER_BODY_TYPE_,Yes,81,29,46,59,87,88,Leadership,,,,1,,,https://sofifa.com/player/6647/william-gallas/070002/,France
,A. Gilardino ST,23,85,91,AC Milan 2010,5879,"184cm / 6'0""",78kg / 172lbs,Right,85,ST,,€0,€0,€0,310,64,91,87,68,0,275,85,0,71,37,82,233,83,82,0,68,0,310,82,0,80,65,83,133,62,0,0,0,0,71,50,19,31,0,52,14,11,0,14,13,1363,409,3,1,,,4,PLAYER_BODY_TYPE_,Yes,82,86,60,81,31,69,Ambition Leadership,,,,2,,,https://sofifa.com/player/5879/alberto-gilardino/070002/,Italy
